number,season,episode,airdate,title,tvmaze link
45,3,1,24 Sep 07,"Wait for It","https://www.tvmaze.com/episodes/12329/how-i-met-your-mother-3x01-wait-for-it"
46,3,2,01 Oct 07,"We're Not from Here","https://www.tvmaze.com/episodes/12330/how-i-met-your-mother-3x02-were-not-from-here"
47,3,3,08 Oct 07,"Third Wheel","https://www.tvmaze.com/episodes/12331/how-i-met-your-mother-3x03-third-wheel"
48,3,4,15 Oct 07,"Little Boys","https://www.tvmaze.com/episodes/12332/how-i-met-your-mother-3x04-little-boys"
49,3,5,22 Oct 07,"How I Met Everyone Else","https://www.tvmaze.com/episodes/12333/how-i-met-your-mother-3x05-how-i-met-everyone-else"
50,3,6,29 Oct 07,"I'm Not That Guy","https://www.tvmaze.com/episodes/12334/how-i-met-your-mother-3x06-im-not-that-guy"
51,3,7,05 Nov 07,"Dowisetrepla","https://www.tvmaze.com/episodes/12335/how-i-met-your-mother-3x07-dowisetrepla"
52,3,8,12 Nov 07,"Spoiler Alert","https://www.tvmaze.com/episodes/12336/how-i-met-your-mother-3x08-spoiler-alert"
53,3,9,19 Nov 07,"Slapsgiving","https://www.tvmaze.com/episodes/12337/how-i-met-your-mother-3x09-slapsgiving"
54,3,10,26 Nov 07,"The Yips","https://www.tvmaze.com/episodes/12338/how-i-met-your-mother-3x10-the-yips"
55,3,11,10 Dec 07,"The Platinum Rule","https://www.tvmaze.com/episodes/12339/how-i-met-your-mother-3x11-the-platinum-rule"
56,3,12,17 Mar 08,"No Tomorrow","https://www.tvmaze.com/episodes/12340/how-i-met-your-mother-3x12-no-tomorrow"
57,3,13,24 Mar 08,"Ten Sessions","https://www.tvmaze.com/episodes/12341/how-i-met-your-mother-3x13-ten-sessions"
58,3,14,31 Mar 08,"The Bracket","https://www.tvmaze.com/episodes/12342/how-i-met-your-mother-3x14-the-bracket"
59,3,15,14 Apr 08,"The Chain of Screaming","https://www.tvmaze.com/episodes/12343/how-i-met-your-mother-3x15-the-chain-of-screaming"
60,3,16,21 Apr 08,"Sandcastles in the Sand","https://www.tvmaze.com/episodes/12344/how-i-met-your-mother-3x16-sandcastles-in-the-sand"
61,3,17,28 Apr 08,"The Goat","https://www.tvmaze.com/episodes/12345/how-i-met-your-mother-3x17-the-goat"
62,3,18,05 May 08,"Rebound Bro","https://www.tvmaze.com/episodes/12346/how-i-met-your-mother-3x18-rebound-bro"
63,3,19,12 May 08,"Everything Must Go","https://www.tvmaze.com/episodes/12347/how-i-met-your-mother-3x19-everything-must-go"
64,3,20,19 May 08,"Miracles","https://www.tvmaze.com/episodes/12348/how-i-met-your-mother-3x20-miracles"
65,4,1,22 Sep 08,"Do I Know You?","https://www.tvmaze.com/episodes/12349/how-i-met-your-mother-4x01-do-i-know-you"
66,4,2,29 Sep 08,"The Best Burger in New York","https://www.tvmaze.com/episodes/12350/how-i-met-your-mother-4x02-the-best-burger-in-new-york"
67,4,3,06 Oct 08,"I Heart NJ","https://www.tvmaze.com/episodes/12351/how-i-met-your-mother-4x03-i-heart-nj"
68,4,4,13 Oct 08,"Intervention","https://www.tvmaze.com/episodes/12352/how-i-met-your-mother-4x04-intervention"
69,4,5,20 Oct 08,"Shelter Island","https://www.tvmaze.com/episodes/12353/how-i-met-your-mother-4x05-shelter-island"
70,4,6,03 Nov 08,"Happily Ever After","https://www.tvmaze.com/episodes/12354/how-i-met-your-mother-4x06-happily-ever-after"
71,4,7,10 Nov 08,"Not a Father's Day","https://www.tvmaze.com/episodes/12355/how-i-met-your-mother-4x07-not-a-fathers-day"
72,4,8,17 Nov 08,"Woooo!","https://www.tvmaze.com/episodes/12356/how-i-met-your-mother-4x08-woooo"
73,4,9,24 Nov 08,"The Naked Man","https://www.tvmaze.com/episodes/12357/how-i-met-your-mother-4x09-the-naked-man"
74,4,10,08 Dec 08,"The Fight","https://www.tvmaze.com/episodes/12358/how-i-met-your-mother-4x10-the-fight"
75,4,11,15 Dec 08,"Little Minnesota","https://www.tvmaze.com/episodes/12359/how-i-met-your-mother-4x11-little-minnesota"
76,4,12,12 Jan 09,"Benefits","https://www.tvmaze.com/episodes/12360/how-i-met-your-mother-4x12-benefits"
77,4,13,19 Jan 09,"Three Days of Snow","https://www.tvmaze.com/episodes/12361/how-i-met-your-mother-4x13-three-days-of-snow"
78,4,14,02 Feb 09,"The Possimpible","https://www.tvmaze.com/episodes/12362/how-i-met-your-mother-4x14-the-possimpible"
79,4,15,02 Mar 09,"The Stinsons","https://www.tvmaze.com/episodes/12363/how-i-met-your-mother-4x15-the-stinsons"
80,4,16,09 Mar 09,"Sorry, Bro","https://www.tvmaze.com/episodes/12364/how-i-met-your-mother-4x16-sorry-bro"
81,4,17,16 Mar 09,"The Front Porch","https://www.tvmaze.com/episodes/12365/how-i-met-your-mother-4x17-the-front-porch"
82,4,18,23 Mar 09,"Old King Clancy","https://www.tvmaze.com/episodes/12366/how-i-met-your-mother-4x18-old-king-clancy"
83,4,19,30 Mar 09,"Murtaugh","https://www.tvmaze.com/episodes/12367/how-i-met-your-mother-4x19-murtaugh"
84,4,20,13 Apr 09,"Mosbius Designs","https://www.tvmaze.com/episodes/12368/how-i-met-your-mother-4x20-mosbius-designs"
85,4,21,27 Apr 09,"The Three Days Rule","https://www.tvmaze.com/episodes/12369/how-i-met-your-mother-4x21-the-three-days-rule"
86,4,22,04 May 09,"Right Place, Right Time","https://www.tvmaze.com/episodes/12370/how-i-met-your-mother-4x22-right-place-right-time"
87,4,23,11 May 09,"As Fast as She Can","https://www.tvmaze.com/episodes/12371/how-i-met-your-mother-4x23-as-fast-as-she-can"
88,4,24,18 May 09,"The Leap","https://www.tvmaze.com/episodes/12372/how-i-met-your-mother-4x24-the-leap"
89,5,1,21 Sep 09,"Definitions","https://www.tvmaze.com/episodes/12373/how-i-met-your-mother-5x01-definitions"
90,5,2,28 Sep 09,"Double Date","https://www.tvmaze.com/episodes/12374/how-i-met-your-mother-5x02-double-date"
91,5,3,05 Oct 09,"Robin 101","https://www.tvmaze.com/episodes/12375/how-i-met-your-mother-5x03-robin-101"
92,5,4,12 Oct 09,"The Sexless Innkeeper","https://www.tvmaze.com/episodes/12376/how-i-met-your-mother-5x04-the-sexless-innkeeper"
93,5,5,19 Oct 09,"Duel Citizenship","https://www.tvmaze.com/episodes/12377/how-i-met-your-mother-5x05-duel-citizenship"
94,5,6,02 Nov 09,"Bagpipes","https://www.tvmaze.com/episodes/12378/how-i-met-your-mother-5x06-bagpipes"
95,5,7,09 Nov 09,"The Rough Patch","https://www.tvmaze.com/episodes/12379/how-i-met-your-mother-5x07-the-rough-patch"
96,5,8,16 Nov 09,"The Playbook","https://www.tvmaze.com/episodes/12380/how-i-met-your-mother-5x08-the-playbook"
97,5,9,23 Nov 09,"Slapsgiving 2: Revenge of the Slap","https://www.tvmaze.com/episodes/12381/how-i-met-your-mother-5x09-slapsgiving-2-revenge-of-the-slap"
98,5,10,07 Dec 09,"The Window","https://www.tvmaze.com/episodes/12382/how-i-met-your-mother-5x10-the-window"
99,5,11,14 Dec 09,"Last Cigarette Ever","https://www.tvmaze.com/episodes/12383/how-i-met-your-mother-5x11-last-cigarette-ever"
100,5,12,11 Jan 10,"Girls vs. Suits","https://www.tvmaze.com/episodes/12384/how-i-met-your-mother-5x12-girls-vs-suits"
101,5,13,18 Jan 10,"Jenkins","https://www.tvmaze.com/episodes/12385/how-i-met-your-mother-5x13-jenkins"
102,5,14,01 Feb 10,"Perfect Week","https://www.tvmaze.com/episodes/12386/how-i-met-your-mother-5x14-perfect-week"
103,5,15,08 Feb 10,"Rabbit or Duck","https://www.tvmaze.com/episodes/12387/how-i-met-your-mother-5x15-rabbit-or-duck"
104,5,16,01 Mar 10,"Hooked","https://www.tvmaze.com/episodes/12388/how-i-met-your-mother-5x16-hooked"
105,5,17,08 Mar 10,"Of Course","https://www.tvmaze.com/episodes/12389/how-i-met-your-mother-5x17-of-course"
106,5,18,22 Mar 10,"Say Cheese","https://www.tvmaze.com/episodes/12390/how-i-met-your-mother-5x18-say-cheese"
107,5,19,12 Apr 10,"Zoo or False","https://www.tvmaze.com/episodes/12391/how-i-met-your-mother-5x19-zoo-or-false"
108,5,20,19 Apr 10,"Home Wreckers","https://www.tvmaze.com/episodes/12392/how-i-met-your-mother-5x20-home-wreckers"
109,5,21,03 May 10,"Twin Beds","https://www.tvmaze.com/episodes/12393/how-i-met-your-mother-5x21-twin-beds"
110,5,22,10 May 10,"Robots vs. Wrestlers","https://www.tvmaze.com/episodes/12394/how-i-met-your-mother-5x22-robots-vs-wrestlers"
111,5,23,17 May 10,"The Wedding Bride","https://www.tvmaze.com/episodes/12395/how-i-met-your-mother-5x23-the-wedding-bride"
112,5,24,24 May 10,"Doppelgangers","https://www.tvmaze.com/episodes/12396/how-i-met-your-mother-5x24-doppelgangers"
113,6,1,20 Sep 10,"Big Days","https://www.tvmaze.com/episodes/12397/how-i-met-your-mother-6x01-big-days"
114,6,2,27 Sep 10,"Cleaning House","https://www.tvmaze.com/episodes/12398/how-i-met-your-mother-6x02-cleaning-house"
115,6,3,04 Oct 10,"Unfinished","https://www.tvmaze.com/episodes/12399/how-i-met-your-mother-6x03-unfinished"
116,6,4,11 Oct 10,"Subway Wars","https://www.tvmaze.com/episodes/12400/how-i-met-your-mother-6x04-subway-wars"
117,6,5,18 Oct 10,"Architect of Destruction","https://www.tvmaze.com/episodes/12401/how-i-met-your-mother-6x05-architect-of-destruction"
118,6,6,25 Oct 10,"Baby Talk","https://www.tvmaze.com/episodes/12402/how-i-met-your-mother-6x06-baby-talk"
119,6,7,01 Nov 10,"Canning Randy","https://www.tvmaze.com/episodes/12403/how-i-met-your-mother-6x07-canning-randy"
120,6,8,08 Nov 10,"Natural History","https://www.tvmaze.com/episodes/12404/how-i-met-your-mother-6x08-natural-history"
121,6,9,15 Nov 10,"Glitter","https://www.tvmaze.com/episodes/12405/how-i-met-your-mother-6x09-glitter"
122,6,10,22 Nov 10,"Blitzgiving","https://www.tvmaze.com/episodes/12406/how-i-met-your-mother-6x10-blitzgiving"
123,6,11,06 Dec 10,"The Mermaid Theory","https://www.tvmaze.com/episodes/12407/how-i-met-your-mother-6x11-the-mermaid-theory"
124,6,12,13 Dec 10,"False Positive","https://www.tvmaze.com/episodes/12408/how-i-met-your-mother-6x12-false-positive"
125,6,13,03 Jan 11,"Bad News","https://www.tvmaze.com/episodes/12409/how-i-met-your-mother-6x13-bad-news"
126,6,14,17 Jan 11,"Last Words","https://www.tvmaze.com/episodes/12410/how-i-met-your-mother-6x14-last-words"
127,6,15,07 Feb 11,"Oh Honey","https://www.tvmaze.com/episodes/12411/how-i-met-your-mother-6x15-oh-honey"
128,6,16,14 Feb 11,"Desperation Day","https://www.tvmaze.com/episodes/12412/how-i-met-your-mother-6x16-desperation-day"
129,6,17,21 Feb 11,"Garbage Island","https://www.tvmaze.com/episodes/12413/how-i-met-your-mother-6x17-garbage-island"
130,6,18,28 Feb 11,"A Change of Heart","https://www.tvmaze.com/episodes/12414/how-i-met-your-mother-6x18-a-change-of-heart"
131,6,19,21 Mar 11,"Legendaddy","https://www.tvmaze.com/episodes/12415/how-i-met-your-mother-6x19-legendaddy"
132,6,20,11 Apr 11,"The Exploding Meatball Sub","https://www.tvmaze.com/episodes/12416/how-i-met-your-mother-6x20-the-exploding-meatball-sub"
133,6,21,18 Apr 11,"Hopeless","https://www.tvmaze.com/episodes/12417/how-i-met-your-mother-6x21-hopeless"
134,6,22,02 May 11,"The Perfect Cocktail","https://www.tvmaze.com/episodes/12418/how-i-met-your-mother-6x22-the-perfect-cocktail"
135,6,23,09 May 11,"Landmarks","https://www.tvmaze.com/episodes/12419/how-i-met-your-mother-6x23-landmarks"
136,6,24,16 May 11,"Challenge Accepted","https://www.tvmaze.com/episodes/12420/how-i-met-your-mother-6x24-challenge-accepted"
137,7,1,19 Sep 11,"The Best Man","https://www.tvmaze.com/episodes/12421/how-i-met-your-mother-7x01-the-best-man"
138,7,2,19 Sep 11,"The Naked Truth","https://www.tvmaze.com/episodes/12422/how-i-met-your-mother-7x02-the-naked-truth"
139,7,3,26 Sep 11,"Ducky Tie","https://www.tvmaze.com/episodes/12423/how-i-met-your-mother-7x03-ducky-tie"
140,7,4,03 Oct 11,"The Stinson Missile Crisis","https://www.tvmaze.com/episodes/12424/how-i-met-your-mother-7x04-the-stinson-missile-crisis"
141,7,5,10 Oct 11,"Field Trip","https://www.tvmaze.com/episodes/12425/how-i-met-your-mother-7x05-field-trip"
142,7,6,17 Oct 11,"Mystery vs. History","https://www.tvmaze.com/episodes/12426/how-i-met-your-mother-7x06-mystery-vs-history"
143,7,7,24 Oct 11,"Noretta","https://www.tvmaze.com/episodes/12427/how-i-met-your-mother-7x07-noretta"
144,7,8,31 Oct 11,"The Slutty Pumpkin Returns","https://www.tvmaze.com/episodes/12428/how-i-met-your-mother-7x08-the-slutty-pumpkin-returns"
145,7,9,07 Nov 11,"Disaster Averted","https://www.tvmaze.com/episodes/12429/how-i-met-your-mother-7x09-disaster-averted"
146,7,10,14 Nov 11,"Tick Tick Tick...","https://www.tvmaze.com/episodes/12430/how-i-met-your-mother-7x10-tick-tick-tick"
147,7,11,21 Nov 11,"The Rebound Girl","https://www.tvmaze.com/episodes/12431/how-i-met-your-mother-7x11-the-rebound-girl"
148,7,12,05 Dec 11,"Symphony of Illumination","https://www.tvmaze.com/episodes/12432/how-i-met-your-mother-7x12-symphony-of-illumination"
149,7,13,02 Jan 12,"Tailgate","https://www.tvmaze.com/episodes/12433/how-i-met-your-mother-7x13-tailgate"
150,7,14,16 Jan 12,"46 Minutes","https://www.tvmaze.com/episodes/12434/how-i-met-your-mother-7x14-46-minutes"
151,7,15,06 Feb 12,"The Burning Beekeeper","https://www.tvmaze.com/episodes/12435/how-i-met-your-mother-7x15-the-burning-beekeeper"
152,7,16,13 Feb 12,"The Drunk Train","https://www.tvmaze.com/episodes/12436/how-i-met-your-mother-7x16-the-drunk-train"
153,7,17,20 Feb 12,"No Pressure","https://www.tvmaze.com/episodes/12437/how-i-met-your-mother-7x17-no-pressure"
154,7,18,27 Feb 12,"Karma","https://www.tvmaze.com/episodes/12438/how-i-met-your-mother-7x18-karma"
155,7,19,19 Mar 12,"The Broath","https://www.tvmaze.com/episodes/12439/how-i-met-your-mother-7x19-the-broath"
156,7,20,09 Apr 12,"Trilogy Time","https://www.tvmaze.com/episodes/12440/how-i-met-your-mother-7x20-trilogy-time"
157,7,21,16 Apr 12,"Now We're Even","https://www.tvmaze.com/episodes/12441/how-i-met-your-mother-7x21-now-were-even"
158,7,22,30 Apr 12,"Good Crazy","https://www.tvmaze.com/episodes/12442/how-i-met-your-mother-7x22-good-crazy"
159,7,23,14 May 12,"The Magician's Code (1)","https://www.tvmaze.com/episodes/12443/how-i-met-your-mother-7x23-the-magicians-code-1"
160,7,24,14 May 12,"The Magician's Code (2)","https://www.tvmaze.com/episodes/12444/how-i-met-your-mother-7x24-the-magicians-code-2"
161,8,1,24 Sep 12,"Farhampton","https://www.tvmaze.com/episodes/12445/how-i-met-your-mother-8x01-farhampton"
162,8,2,01 Oct 12,"The Pre-Nup","https://www.tvmaze.com/episodes/12446/how-i-met-your-mother-8x02-the-pre-nup"
163,8,3,08 Oct 12,"Nannies","https://www.tvmaze.com/episodes/12447/how-i-met-your-mother-8x03-nannies"
164,8,4,15 Oct 12,"Who Wants to Be a Godparent?","https://www.tvmaze.com/episodes/12448/how-i-met-your-mother-8x04-who-wants-to-be-a-godparent"
165,8,5,05 Nov 12,"The Autumn of Break-Ups","https://www.tvmaze.com/episodes/12449/how-i-met-your-mother-8x05-the-autumn-of-break-ups"
166,8,6,12 Nov 12,"Splitsville","https://www.tvmaze.com/episodes/12450/how-i-met-your-mother-8x06-splitsville"
167,8,7,19 Nov 12,"The Stamp Tramp","https://www.tvmaze.com/episodes/12451/how-i-met-your-mother-8x07-the-stamp-tramp"
168,8,8,26 Nov 12,"Twelve Horny Women","https://www.tvmaze.com/episodes/12452/how-i-met-your-mother-8x08-twelve-horny-women"
169,8,9,03 Dec 12,"Lobster Crawl","https://www.tvmaze.com/episodes/12453/how-i-met-your-mother-8x09-lobster-crawl"
170,8,10,10 Dec 12,"The Over-Correction","https://www.tvmaze.com/episodes/12454/how-i-met-your-mother-8x10-the-over-correction"
171,8,11,17 Dec 12,"The Final Page (1)","https://www.tvmaze.com/episodes/12455/how-i-met-your-mother-8x11-the-final-page-1"
172,8,12,17 Dec 12,"The Final Page (2)","https://www.tvmaze.com/episodes/12456/how-i-met-your-mother-8x12-the-final-page-2"
173,8,13,14 Jan 13,"Band or DJ?","https://www.tvmaze.com/episodes/12457/how-i-met-your-mother-8x13-band-or-dj"
174,8,14,21 Jan 13,"Ring Up!","https://www.tvmaze.com/episodes/12458/how-i-met-your-mother-8x14-ring-up"
175,8,15,04 Feb 13,"P.S. I Love You","https://www.tvmaze.com/episodes/12459/how-i-met-your-mother-8x15-ps-i-love-you"
176,8,16,11 Feb 13,"Bad Crazy","https://www.tvmaze.com/episodes/12460/how-i-met-your-mother-8x16-bad-crazy"
177,8,17,18 Feb 13,"The Ashtray","https://www.tvmaze.com/episodes/12461/how-i-met-your-mother-8x17-the-ashtray"
178,8,18,25 Feb 13,"Weekend at Barney's","https://www.tvmaze.com/episodes/12462/how-i-met-your-mother-8x18-weekend-at-barneys"
179,8,19,18 Mar 13,"The Fortress","https://www.tvmaze.com/episodes/12463/how-i-met-your-mother-8x19-the-fortress"
180,8,20,25 Mar 13,"The Time Travelers","https://www.tvmaze.com/episodes/12464/how-i-met-your-mother-8x20-the-time-travelers"
181,8,21,15 Apr 13,"Romeward Bound","https://www.tvmaze.com/episodes/12465/how-i-met-your-mother-8x21-romeward-bound"
182,8,22,29 Apr 13,"The Bro Mitzvah","https://www.tvmaze.com/episodes/12466/how-i-met-your-mother-8x22-the-bro-mitzvah"
183,8,23,06 May 13,"Something Old","https://www.tvmaze.com/episodes/12467/how-i-met-your-mother-8x23-something-old"
184,8,24,13 May 13,"Something New","https://www.tvmaze.com/episodes/12468/how-i-met-your-mother-8x24-something-new"
185,9,1,23 Sep 13,"The Locket","https://www.tvmaze.com/episodes/12469/how-i-met-your-mother-9x01-the-locket"
186,9,2,23 Sep 13,"Coming Back","https://www.tvmaze.com/episodes/12470/how-i-met-your-mother-9x02-coming-back"
187,9,3,30 Sep 13,"Last Time in New York","https://www.tvmaze.com/episodes/12471/how-i-met-your-mother-9x03-last-time-in-new-york"
188,9,4,07 Oct 13,"The Broken Code","https://www.tvmaze.com/episodes/12472/how-i-met-your-mother-9x04-the-broken-code"
189,9,5,14 Oct 13,"The Poker Game","https://www.tvmaze.com/episodes/12473/how-i-met-your-mother-9x05-the-poker-game"
190,9,6,21 Oct 13,"Knight Vision","https://www.tvmaze.com/episodes/12474/how-i-met-your-mother-9x06-knight-vision"
191,9,7,28 Oct 13,"No Questions Asked","https://www.tvmaze.com/episodes/12475/how-i-met-your-mother-9x07-no-questions-asked"
192,9,8,04 Nov 13,"The Lighthouse","https://www.tvmaze.com/episodes/12476/how-i-met-your-mother-9x08-the-lighthouse"
193,9,9,11 Nov 13,"Platonish","https://www.tvmaze.com/episodes/12477/how-i-met-your-mother-9x09-platonish"
194,9,10,18 Nov 13,"Mom and Dad","https://www.tvmaze.com/episodes/12478/how-i-met-your-mother-9x10-mom-and-dad"
195,9,11,25 Nov 13,"Bedtime Stories","https://www.tvmaze.com/episodes/12479/how-i-met-your-mother-9x11-bedtime-stories"
196,9,12,02 Dec 13,"The Rehearsal Dinner","https://www.tvmaze.com/episodes/12480/how-i-met-your-mother-9x12-the-rehearsal-dinner"
197,9,13,16 Dec 13,"Bass Player Wanted","https://www.tvmaze.com/episodes/12481/how-i-met-your-mother-9x13-bass-player-wanted"
198,9,14,13 Jan 14,"Slapsgiving 3: Slappointment in Slapmarra","https://www.tvmaze.com/episodes/12482/how-i-met-your-mother-9x14-slapsgiving-3-slappointment-in-slapmarra"
199,9,15,20 Jan 14,"Unpause","https://www.tvmaze.com/episodes/12483/how-i-met-your-mother-9x15-unpause"
200,9,16,27 Jan 14,"How Your Mother Met Me","https://www.tvmaze.com/episodes/12484/how-i-met-your-mother-9x16-how-your-mother-met-me"
201,9,17,03 Feb 14,"Sunrise","https://www.tvmaze.com/episodes/12485/how-i-met-your-mother-9x17-sunrise"
202,9,18,24 Feb 14,"Rally","https://www.tvmaze.com/episodes/12486/how-i-met-your-mother-9x18-rally"
203,9,19,03 Mar 14,"Vesuvius","https://www.tvmaze.com/episodes/12487/how-i-met-your-mother-9x19-vesuvius"
204,9,20,10 Mar 14,"Daisy","https://www.tvmaze.com/episodes/12488/how-i-met-your-mother-9x20-daisy"
205,9,21,17 Mar 14,"Gary Blauman","https://www.tvmaze.com/episodes/12489/how-i-met-your-mother-9x21-gary-blauman"
206,9,22,24 Mar 14,"The End of the Aisle","https://www.tvmaze.com/episodes/12490/how-i-met-your-mother-9x22-the-end-of-the-aisle"
207,9,23,31 Mar 14,"Last Forever (1)","https://www.tvmaze.com/episodes/12491/how-i-met-your-mother-9x23-last-forever-1"
208,9,24,31 Mar 14,"Last Forever (2)","https://www.tvmaze.com/episodes/12492/how-i-met-your-mother-9x24-last-forever-2"
